periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Total under five Diarrhoea cases reported
202201,Jan-22,202201,,wsBsC6gjHvn,Mombasa County,KE_County_1,,4383
202201,Jan-22,202201,,ahwTMNAJvrL,Muranga County,KE_County_21,,2120
202201,Jan-22,202201,,jkG3zaihdSs,Nairobi County,KE_County_47,,9659
202201,Jan-22,202201,,ob6SxuRcqU4,Nakuru County,KE_County_32,,6831
202201,Jan-22,202201,,t0J75eHKxz5,Nandi County,KE_County_29,,1866
202201,Jan-22,202201,,kqJ83J2D72s,Narok County,KE_County_33,,2882
202201,Jan-22,202201,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1218
202201,Jan-22,202201,,mYZacFNIB3h,Nyandarua County,KE_County_18,,820
202201,Jan-22,202201,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1456
202201,Jan-22,202201,,o36zCRjSd4G,Samburu County,KE_County_25,,1911
202201,Jan-22,202201,,u4t9H8XyU9P,Siaya County,KE_County_41,,3706
202201,Jan-22,202201,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,954
202201,Jan-22,202201,,JsH2bnvNt2d,Tana River County,KE_County_4,,3324
202201,Jan-22,202201,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1342
202201,Jan-22,202201,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1583
202201,Jan-22,202201,,kphDeKClFch,Turkana County,KE_County_23,,6527
202201,Jan-22,202201,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,3588
202201,Jan-22,202201,,sANMZ3lpqGs,Vihiga County,KE_County_38,,954
202201,Jan-22,202201,,CeLsrJOH0g9,Wajir County,KE_County_8,,3897
202201,Jan-22,202201,,XWALbfAPa6n,West Pokot County,KE_County_24,,2710
202101,Jan-21,202101,,vvOK1BxTbet,Baringo County,KE_County_30,,895
202101,Jan-21,202101,,HMNARUV2CW4,Bomet County,KE_County_36,,4255
202101,Jan-21,202101,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2045
202101,Jan-21,202101,,Tvf1zgVZ0K4,Busia County,KE_County_40,,514
202101,Jan-21,202101,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1881
202101,Jan-21,202101,,PFu8alU2KWG,Embu County,KE_County_14,,384
202101,Jan-21,202101,,uyOrcHZBpW0,Garissa County,KE_County_7,,1514
202101,Jan-21,202101,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,837
202101,Jan-21,202101,,bzOfj0iwfDH,Isiolo County,KE_County_11,,892
202101,Jan-21,202101,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,2690
202101,Jan-21,202101,,BjC1xL40gHo,Kakamega County,KE_County_37,,2044
202101,Jan-21,202101,,ihZsJ8alvtb,Kericho County,KE_County_35,,1034
202101,Jan-21,202101,,qKzosKQPl6G,Kiambu County,KE_County_22,,3274
202101,Jan-21,202101,,nrI2khZx3d0,Kilifi County,KE_County_3,,2960
202101,Jan-21,202101,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2804
202101,Jan-21,202101,,sPkRcDvhGWA,Kisii County,KE_County_45,,678
202101,Jan-21,202101,,tAbBVBbueqD,Kisumu County,KE_County_42,,2580
202101,Jan-21,202101,,j8o6iO4Njsi,Kitui County,KE_County_15,,928
202101,Jan-21,202101,,N7YETT3A9r1,Kwale County,KE_County_2,,544
202101,Jan-21,202101,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1647
202101,Jan-21,202101,,NjWSbQTwys4,Lamu County,KE_County_5,,530
202101,Jan-21,202101,,yhCUgGcCcOo,Machakos County,KE_County_16,,3631
202101,Jan-21,202101,,BoDytkJQ4Qi,Makueni County,KE_County_17,,1508
202101,Jan-21,202101,,R6f9znhg37c,Mandera County,KE_County_9,,5216
202101,Jan-21,202101,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1947
202101,Jan-21,202101,,Y52XNJ50hYb,Meru County,KE_County_12,,1132
202101,Jan-21,202101,,fVra3Pwta0Q,Migori County,KE_County_44,,1002
202101,Jan-21,202101,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1734
202101,Jan-21,202101,,ahwTMNAJvrL,Muranga County,KE_County_21,,2158
202101,Jan-21,202101,,jkG3zaihdSs,Nairobi County,KE_County_47,,6598
202101,Jan-21,202101,,ob6SxuRcqU4,Nakuru County,KE_County_32,,7620
202101,Jan-21,202101,,t0J75eHKxz5,Nandi County,KE_County_29,,843
202101,Jan-21,202101,,kqJ83J2D72s,Narok County,KE_County_33,,2827
202101,Jan-21,202101,,uepLTG8wGWJ,Nyamira County,KE_County_46,,597
202101,Jan-21,202101,,mYZacFNIB3h,Nyandarua County,KE_County_18,,909
202101,Jan-21,202101,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1483
202101,Jan-21,202101,,o36zCRjSd4G,Samburu County,KE_County_25,,1630
202101,Jan-21,202101,,u4t9H8XyU9P,Siaya County,KE_County_41,,912
202101,Jan-21,202101,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,251
202101,Jan-21,202101,,JsH2bnvNt2d,Tana River County,KE_County_4,,1670
202101,Jan-21,202101,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1045
202101,Jan-21,202101,,mThvosEflAU,Trans Nzoia County,KE_County_26,,704
202101,Jan-21,202101,,kphDeKClFch,Turkana County,KE_County_23,,5409
202101,Jan-21,202101,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,3859
202101,Jan-21,202101,,sANMZ3lpqGs,Vihiga County,KE_County_38,,198
202101,Jan-21,202101,,CeLsrJOH0g9,Wajir County,KE_County_8,,2146
202101,Jan-21,202101,,XWALbfAPa6n,West Pokot County,KE_County_24,,2371
202102,Feb-21,202102,,vvOK1BxTbet,Baringo County,KE_County_30,,1599
202102,Feb-21,202102,,HMNARUV2CW4,Bomet County,KE_County_36,,3691
202102,Feb-21,202102,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3582
202102,Feb-21,202102,,Tvf1zgVZ0K4,Busia County,KE_County_40,,737
202102,Feb-21,202102,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2734
202102,Feb-21,202102,,PFu8alU2KWG,Embu County,KE_County_14,,768
202102,Feb-21,202102,,uyOrcHZBpW0,Garissa County,KE_County_7,,1716
202102,Feb-21,202102,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1859
202102,Feb-21,202102,,bzOfj0iwfDH,Isiolo County,KE_County_11,,950
202102,Feb-21,202102,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,4175
202102,Feb-21,202102,,BjC1xL40gHo,Kakamega County,KE_County_37,,3444
202102,Feb-21,202102,,ihZsJ8alvtb,Kericho County,KE_County_35,,3125
202102,Feb-21,202102,,qKzosKQPl6G,Kiambu County,KE_County_22,,4954
202102,Feb-21,202102,,nrI2khZx3d0,Kilifi County,KE_County_3,,4498
202102,Feb-21,202102,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1902
202102,Feb-21,202102,,sPkRcDvhGWA,Kisii County,KE_County_45,,1325
202102,Feb-21,202102,,tAbBVBbueqD,Kisumu County,KE_County_42,,2177
202102,Feb-21,202102,,j8o6iO4Njsi,Kitui County,KE_County_15,,2523
202102,Feb-21,202102,,N7YETT3A9r1,Kwale County,KE_County_2,,2725
202102,Feb-21,202102,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1426
202102,Feb-21,202102,,NjWSbQTwys4,Lamu County,KE_County_5,,823
202102,Feb-21,202102,,yhCUgGcCcOo,Machakos County,KE_County_16,,4122
202102,Feb-21,202102,,BoDytkJQ4Qi,Makueni County,KE_County_17,,3302
202102,Feb-21,202102,,R6f9znhg37c,Mandera County,KE_County_9,,3894
202102,Feb-21,202102,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1792
202102,Feb-21,202102,,Y52XNJ50hYb,Meru County,KE_County_12,,2529
202102,Feb-21,202102,,fVra3Pwta0Q,Migori County,KE_County_44,,1281
202102,Feb-21,202102,,wsBsC6gjHvn,Mombasa County,KE_County_1,,2306
202102,Feb-21,202102,,ahwTMNAJvrL,Muranga County,KE_County_21,,2143
202102,Feb-21,202102,,jkG3zaihdSs,Nairobi County,KE_County_47,,9130
202102,Feb-21,202102,,ob6SxuRcqU4,Nakuru County,KE_County_32,,7304
202102,Feb-21,202102,,t0J75eHKxz5,Nandi County,KE_County_29,,1763
202102,Feb-21,202102,,kqJ83J2D72s,Narok County,KE_County_33,,2510
202102,Feb-21,202102,,uepLTG8wGWJ,Nyamira County,KE_County_46,,784
202102,Feb-21,202102,,mYZacFNIB3h,Nyandarua County,KE_County_18,,947
202102,Feb-21,202102,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1384
202102,Feb-21,202102,,o36zCRjSd4G,Samburu County,KE_County_25,,1704
202102,Feb-21,202102,,u4t9H8XyU9P,Siaya County,KE_County_41,,1292
202102,Feb-21,202102,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,255
202102,Feb-21,202102,,JsH2bnvNt2d,Tana River County,KE_County_4,,1834
202102,Feb-21,202102,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,940
202102,Feb-21,202102,,mThvosEflAU,Trans Nzoia County,KE_County_26,,732
202102,Feb-21,202102,,kphDeKClFch,Turkana County,KE_County_23,,6372
202102,Feb-21,202102,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,5442
202102,Feb-21,202102,,sANMZ3lpqGs,Vihiga County,KE_County_38,,247
202102,Feb-21,202102,,CeLsrJOH0g9,Wajir County,KE_County_8,,1969
202102,Feb-21,202102,,XWALbfAPa6n,West Pokot County,KE_County_24,,2477
202103,Mar-21,202103,,vvOK1BxTbet,Baringo County,KE_County_30,,2331
202103,Mar-21,202103,,HMNARUV2CW4,Bomet County,KE_County_36,,2582
202103,Mar-21,202103,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3464
202103,Mar-21,202103,,Tvf1zgVZ0K4,Busia County,KE_County_40,,2147
202103,Mar-21,202103,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2783
202103,Mar-21,202103,,PFu8alU2KWG,Embu County,KE_County_14,,1160
202103,Mar-21,202103,,uyOrcHZBpW0,Garissa County,KE_County_7,,1362
202103,Mar-21,202103,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,2331
202103,Mar-21,202103,,bzOfj0iwfDH,Isiolo County,KE_County_11,,788
202103,Mar-21,202103,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,5548
202103,Mar-21,202103,,BjC1xL40gHo,Kakamega County,KE_County_37,,4281
202103,Mar-21,202103,,ihZsJ8alvtb,Kericho County,KE_County_35,,3136
202103,Mar-21,202103,,qKzosKQPl6G,Kiambu County,KE_County_22,,6831
202103,Mar-21,202103,,nrI2khZx3d0,Kilifi County,KE_County_3,,8612
202103,Mar-21,202103,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2095
202103,Mar-21,202103,,sPkRcDvhGWA,Kisii County,KE_County_45,,2376
202103,Mar-21,202103,,tAbBVBbueqD,Kisumu County,KE_County_42,,3747
202103,Mar-21,202103,,j8o6iO4Njsi,Kitui County,KE_County_15,,2443
202103,Mar-21,202103,,N7YETT3A9r1,Kwale County,KE_County_2,,3256
202103,Mar-21,202103,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1509
202103,Mar-21,202103,,NjWSbQTwys4,Lamu County,KE_County_5,,710
202103,Mar-21,202103,,yhCUgGcCcOo,Machakos County,KE_County_16,,4118
202103,Mar-21,202103,,BoDytkJQ4Qi,Makueni County,KE_County_17,,2889
202103,Mar-21,202103,,R6f9znhg37c,Mandera County,KE_County_9,,4608
202103,Mar-21,202103,,Eey8fT4Im3y,Marsabit County,KE_County_10,,2200
202103,Mar-21,202103,,Y52XNJ50hYb,Meru County,KE_County_12,,2728
202103,Mar-21,202103,,fVra3Pwta0Q,Migori County,KE_County_44,,3171
202103,Mar-21,202103,,wsBsC6gjHvn,Mombasa County,KE_County_1,,3948
202103,Mar-21,202103,,ahwTMNAJvrL,Muranga County,KE_County_21,,1860
202103,Mar-21,202103,,jkG3zaihdSs,Nairobi County,KE_County_47,,10302
202103,Mar-21,202103,,ob6SxuRcqU4,Nakuru County,KE_County_32,,7239
202103,Mar-21,202103,,t0J75eHKxz5,Nandi County,KE_County_29,,2008
202103,Mar-21,202103,,kqJ83J2D72s,Narok County,KE_County_33,,2227
202103,Mar-21,202103,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1011
202103,Mar-21,202103,,mYZacFNIB3h,Nyandarua County,KE_County_18,,1217
202103,Mar-21,202103,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1407
202103,Mar-21,202103,,o36zCRjSd4G,Samburu County,KE_County_25,,2070
202103,Mar-21,202103,,u4t9H8XyU9P,Siaya County,KE_County_41,,2120
202103,Mar-21,202103,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,659
202103,Mar-21,202103,,JsH2bnvNt2d,Tana River County,KE_County_4,,1688
202103,Mar-21,202103,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1094
202103,Mar-21,202103,,mThvosEflAU,Trans Nzoia County,KE_County_26,,2135
202103,Mar-21,202103,,kphDeKClFch,Turkana County,KE_County_23,,6862
202103,Mar-21,202103,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,6813
202103,Mar-21,202103,,sANMZ3lpqGs,Vihiga County,KE_County_38,,816
202103,Mar-21,202103,,CeLsrJOH0g9,Wajir County,KE_County_8,,2346
202103,Mar-21,202103,,XWALbfAPa6n,West Pokot County,KE_County_24,,2179
202104,Apr-21,202104,,vvOK1BxTbet,Baringo County,KE_County_30,,1847
202104,Apr-21,202104,,HMNARUV2CW4,Bomet County,KE_County_36,,2336
202104,Apr-21,202104,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2886
202104,Apr-21,202104,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1465
202104,Apr-21,202104,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1867
202104,Apr-21,202104,,PFu8alU2KWG,Embu County,KE_County_14,,762
202104,Apr-21,202104,,uyOrcHZBpW0,Garissa County,KE_County_7,,1756
202104,Apr-21,202104,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1422
202104,Apr-21,202104,,bzOfj0iwfDH,Isiolo County,KE_County_11,,734
202104,Apr-21,202104,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3370
202104,Apr-21,202104,,BjC1xL40gHo,Kakamega County,KE_County_37,,3713
202104,Apr-21,202104,,ihZsJ8alvtb,Kericho County,KE_County_35,,2340
202104,Apr-21,202104,,qKzosKQPl6G,Kiambu County,KE_County_22,,4226
202104,Apr-21,202104,,nrI2khZx3d0,Kilifi County,KE_County_3,,6005
202104,Apr-21,202104,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1504
202104,Apr-21,202104,,sPkRcDvhGWA,Kisii County,KE_County_45,,1835
202104,Apr-21,202104,,tAbBVBbueqD,Kisumu County,KE_County_42,,2491
202104,Apr-21,202104,,j8o6iO4Njsi,Kitui County,KE_County_15,,1746
202104,Apr-21,202104,,N7YETT3A9r1,Kwale County,KE_County_2,,2541
202104,Apr-21,202104,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1001
202104,Apr-21,202104,,NjWSbQTwys4,Lamu County,KE_County_5,,603
202104,Apr-21,202104,,yhCUgGcCcOo,Machakos County,KE_County_16,,2848
202104,Apr-21,202104,,BoDytkJQ4Qi,Makueni County,KE_County_17,,1900
202104,Apr-21,202104,,R6f9znhg37c,Mandera County,KE_County_9,,4479
202104,Apr-21,202104,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1726
202104,Apr-21,202104,,Y52XNJ50hYb,Meru County,KE_County_12,,2356
202104,Apr-21,202104,,fVra3Pwta0Q,Migori County,KE_County_44,,3093
202104,Apr-21,202104,,wsBsC6gjHvn,Mombasa County,KE_County_1,,2667
202104,Apr-21,202104,,ahwTMNAJvrL,Muranga County,KE_County_21,,1137
202104,Apr-21,202104,,jkG3zaihdSs,Nairobi County,KE_County_47,,8168
202104,Apr-21,202104,,ob6SxuRcqU4,Nakuru County,KE_County_32,,4825
202104,Apr-21,202104,,t0J75eHKxz5,Nandi County,KE_County_29,,1529
202104,Apr-21,202104,,kqJ83J2D72s,Narok County,KE_County_33,,2211
202104,Apr-21,202104,,uepLTG8wGWJ,Nyamira County,KE_County_46,,849
202104,Apr-21,202104,,mYZacFNIB3h,Nyandarua County,KE_County_18,,754
202104,Apr-21,202104,,ptWVfaCIdVx,Nyeri County,KE_County_19,,822
202104,Apr-21,202104,,o36zCRjSd4G,Samburu County,KE_County_25,,1639
202104,Apr-21,202104,,u4t9H8XyU9P,Siaya County,KE_County_41,,1514
202104,Apr-21,202104,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,604
202104,Apr-21,202104,,JsH2bnvNt2d,Tana River County,KE_County_4,,1193
202104,Apr-21,202104,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,758
202104,Apr-21,202104,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1735
202104,Apr-21,202104,,kphDeKClFch,Turkana County,KE_County_23,,7586
202104,Apr-21,202104,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,5115
202104,Apr-21,202104,,sANMZ3lpqGs,Vihiga County,KE_County_38,,563
202104,Apr-21,202104,,CeLsrJOH0g9,Wajir County,KE_County_8,,2610
202104,Apr-21,202104,,XWALbfAPa6n,West Pokot County,KE_County_24,,2426
202105,May-21,202105,,vvOK1BxTbet,Baringo County,KE_County_30,,2131
202105,May-21,202105,,HMNARUV2CW4,Bomet County,KE_County_36,,2201
202105,May-21,202105,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3033
202105,May-21,202105,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1719
202105,May-21,202105,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1690
202105,May-21,202105,,PFu8alU2KWG,Embu County,KE_County_14,,961
202105,May-21,202105,,uyOrcHZBpW0,Garissa County,KE_County_7,,1828
202105,May-21,202105,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1352
202105,May-21,202105,,bzOfj0iwfDH,Isiolo County,KE_County_11,,922
202105,May-21,202105,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3612
202105,May-21,202105,,BjC1xL40gHo,Kakamega County,KE_County_37,,4701
202105,May-21,202105,,ihZsJ8alvtb,Kericho County,KE_County_35,,1612
202105,May-21,202105,,qKzosKQPl6G,Kiambu County,KE_County_22,,4929
202105,May-21,202105,,nrI2khZx3d0,Kilifi County,KE_County_3,,8403
202105,May-21,202105,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2195
202105,May-21,202105,,sPkRcDvhGWA,Kisii County,KE_County_45,,1886
202105,May-21,202105,,tAbBVBbueqD,Kisumu County,KE_County_42,,3336
202105,May-21,202105,,j8o6iO4Njsi,Kitui County,KE_County_15,,1809
202105,May-21,202105,,N7YETT3A9r1,Kwale County,KE_County_2,,3263
202105,May-21,202105,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1318
202105,May-21,202105,,NjWSbQTwys4,Lamu County,KE_County_5,,615
202105,May-21,202105,,yhCUgGcCcOo,Machakos County,KE_County_16,,3724
202105,May-21,202105,,BoDytkJQ4Qi,Makueni County,KE_County_17,,2170
202105,May-21,202105,,R6f9znhg37c,Mandera County,KE_County_9,,5625
202105,May-21,202105,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1877
202105,May-21,202105,,Y52XNJ50hYb,Meru County,KE_County_12,,2121
202105,May-21,202105,,fVra3Pwta0Q,Migori County,KE_County_44,,2067
202105,May-21,202105,,wsBsC6gjHvn,Mombasa County,KE_County_1,,3909
202105,May-21,202105,,ahwTMNAJvrL,Muranga County,KE_County_21,,1423
202105,May-21,202105,,jkG3zaihdSs,Nairobi County,KE_County_47,,9616
202105,May-21,202105,,ob6SxuRcqU4,Nakuru County,KE_County_32,,5187
202105,May-21,202105,,t0J75eHKxz5,Nandi County,KE_County_29,,1320
202105,May-21,202105,,kqJ83J2D72s,Narok County,KE_County_33,,2201
202105,May-21,202105,,uepLTG8wGWJ,Nyamira County,KE_County_46,,888
202105,May-21,202105,,mYZacFNIB3h,Nyandarua County,KE_County_18,,664
202105,May-21,202105,,ptWVfaCIdVx,Nyeri County,KE_County_19,,882
202105,May-21,202105,,o36zCRjSd4G,Samburu County,KE_County_25,,2101
202105,May-21,202105,,u4t9H8XyU9P,Siaya County,KE_County_41,,2221
202105,May-21,202105,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,783
202105,May-21,202105,,JsH2bnvNt2d,Tana River County,KE_County_4,,1235
202105,May-21,202105,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,993
202105,May-21,202105,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1697
202105,May-21,202105,,kphDeKClFch,Turkana County,KE_County_23,,8710
202105,May-21,202105,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,6443
202105,May-21,202105,,sANMZ3lpqGs,Vihiga County,KE_County_38,,644
202105,May-21,202105,,CeLsrJOH0g9,Wajir County,KE_County_8,,2960
202105,May-21,202105,,XWALbfAPa6n,West Pokot County,KE_County_24,,2552
202106,Jun-21,202106,,vvOK1BxTbet,Baringo County,KE_County_30,,2705
202106,Jun-21,202106,,HMNARUV2CW4,Bomet County,KE_County_36,,2428
202106,Jun-21,202106,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2888
202106,Jun-21,202106,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1743
202106,Jun-21,202106,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2581
202106,Jun-21,202106,,PFu8alU2KWG,Embu County,KE_County_14,,922
202106,Jun-21,202106,,uyOrcHZBpW0,Garissa County,KE_County_7,,1769
202106,Jun-21,202106,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1108
202106,Jun-21,202106,,bzOfj0iwfDH,Isiolo County,KE_County_11,,1024
202106,Jun-21,202106,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3053
202106,Jun-21,202106,,BjC1xL40gHo,Kakamega County,KE_County_37,,4586
202106,Jun-21,202106,,ihZsJ8alvtb,Kericho County,KE_County_35,,2933
202106,Jun-21,202106,,qKzosKQPl6G,Kiambu County,KE_County_22,,4228
202106,Jun-21,202106,,nrI2khZx3d0,Kilifi County,KE_County_3,,6633
202106,Jun-21,202106,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,4114
202106,Jun-21,202106,,sPkRcDvhGWA,Kisii County,KE_County_45,,2325
202106,Jun-21,202106,,tAbBVBbueqD,Kisumu County,KE_County_42,,3343
202106,Jun-21,202106,,j8o6iO4Njsi,Kitui County,KE_County_15,,1745
202106,Jun-21,202106,,N7YETT3A9r1,Kwale County,KE_County_2,,2584
202106,Jun-21,202106,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1357
202106,Jun-21,202106,,NjWSbQTwys4,Lamu County,KE_County_5,,633
202106,Jun-21,202106,,yhCUgGcCcOo,Machakos County,KE_County_16,,3038
202106,Jun-21,202106,,BoDytkJQ4Qi,Makueni County,KE_County_17,,1966
202106,Jun-21,202106,,R6f9znhg37c,Mandera County,KE_County_9,,5650
202106,Jun-21,202106,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1613
202106,Jun-21,202106,,Y52XNJ50hYb,Meru County,KE_County_12,,1756
202106,Jun-21,202106,,fVra3Pwta0Q,Migori County,KE_County_44,,2245
202106,Jun-21,202106,,wsBsC6gjHvn,Mombasa County,KE_County_1,,5232
202106,Jun-21,202106,,ahwTMNAJvrL,Muranga County,KE_County_21,,1205
202106,Jun-21,202106,,jkG3zaihdSs,Nairobi County,KE_County_47,,9212
202106,Jun-21,202106,,ob6SxuRcqU4,Nakuru County,KE_County_32,,6824
202106,Jun-21,202106,,t0J75eHKxz5,Nandi County,KE_County_29,,1771
202106,Jun-21,202106,,kqJ83J2D72s,Narok County,KE_County_33,,2195
202106,Jun-21,202106,,uepLTG8wGWJ,Nyamira County,KE_County_46,,779
202106,Jun-21,202106,,mYZacFNIB3h,Nyandarua County,KE_County_18,,881
202106,Jun-21,202106,,ptWVfaCIdVx,Nyeri County,KE_County_19,,821
202106,Jun-21,202106,,o36zCRjSd4G,Samburu County,KE_County_25,,2231
202106,Jun-21,202106,,u4t9H8XyU9P,Siaya County,KE_County_41,,2561
202106,Jun-21,202106,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,1802
202106,Jun-21,202106,,JsH2bnvNt2d,Tana River County,KE_County_4,,1429
202106,Jun-21,202106,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,662
202106,Jun-21,202106,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1789
202106,Jun-21,202106,,kphDeKClFch,Turkana County,KE_County_23,,6518
202106,Jun-21,202106,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,6029
202106,Jun-21,202106,,sANMZ3lpqGs,Vihiga County,KE_County_38,,631
202106,Jun-21,202106,,CeLsrJOH0g9,Wajir County,KE_County_8,,2453
202106,Jun-21,202106,,XWALbfAPa6n,West Pokot County,KE_County_24,,2474
202107,Jul-21,202107,,vvOK1BxTbet,Baringo County,KE_County_30,,2387
